user_id;deuda
810;186,93
811;34,64
812;15,63
813;0,00
814;48,90
815;344,57
816;15,56
817;30,38
818;15,99
819;17,10
820;15,99
821;47,55
822;30,18
823;16,51
824;48,46
825;15,60
826;15,17
827;30,18
828;105,01
829;16,09
830;65,69
831;11,66
832;15,94
833;15,28
834;26,62
835;16,01
836;14,88
837;16,11
838;210,40
839;30,25
840;15,94
841;13,96
842;129,32
843;267,06
844;396,99
845;238,97
846;58,41
847;25,90
848;17,37
849;30,18
850;207,50
851;145,00
852;29,12
853;14,67
854;80,08
855;16,01
856;154,58
857;509,69
858;16,21
859;30,16
860;151,97
861;43,63
862;15,99
863;99,76
864;30,18
865;30,18
866;329,85
867;197,45
868;50,88
869;30,17
870;273,65
871;15,89
872;47,91
873;16,23
874;150,27
875;15,99
876;0,00
877;16,42
878;446,26
879;467,14
880;61,34
881;164,35
882;10,41
883;30,25
884;15,44
885;15,99
886;48,17
887;50,66
888;234,30
889;68,34
890;152,06
891;16,00
892;15,94
893;60,47
894;15,91
895;28,79
896;88,56
897;15,99
898;302,67
899;30,32
900;321,19
901;15,96
902;327,54
903;0,00
904;16,46
905;15,76
906;15,98
907;15,99
908;15,28
909;120,15
910;15,99
911;11,93
912;119,82
913;93,04
914;15,87
915;31,01
916;54,58
917;61,44
918;49,00
919;15,99
920;15,77
921;15,99
922;20,63
923;115,92
924;15,89
925;421,63
926;15,99
927;30,18
928;409,48
929;15,19
930;16,17
931;30,21
932;263,22
933;16,01
934;40,59
935;15,97
936;15,99
937;15,49
938;80,97
939;19,34
940;109,50
941;30,22
942;352,40
943;116,42
944;8,49
945;29,40
946;30,22
947;15,90
948;48,78
949;15,99
950;71,35
951;239,33
952;14,12
953;15,99
954;381,51
955;15,99
956;108,44
957;318,64
958;208,10
959;300,29
960;48,94
961;15,97
962;15,66
963;15,56
964;16,43
965;0,00
966;30,22
967;15,99
968;15,99
969;15,90
970;101,57
971;173,90
972;30,22
973;15,95
974;48,94
975;30,22
976;15,99
977;80,04
978;15,99
979;15,37
980;423,91
981;29,82
982;373,59
983;197,02
984;16,09
985;30,64
986;81,62
987;51,20
988;15,99
989;62,30
990;17,95
991;178,21
992;50,64
993;14,94
994;15,99
995;14,94
996;80,50
997;15,99
998;14,69
999;15,31
1000;30,22
1001;16,05
1002;81,06
1003;16,08
1004;30,22
1005;71,25
1006;16,22
1007;229,04
1008;18,50
1009;15,12
1010;15,99
1011;30,56
1012;459,45
1013;111,51
1014;15,99
1015;16,00
1016;16,15
1017;15,39
1018;11,03
1019;25,01
1020;47,47
1021;469,45
1022;30,96
1023;15,99
1024;16,07
1025;31,16
1026;72,83
1027;19,70
1028;31,55
1029;256,46
1030;46,30
1031;230,77
1032;20,18
1033;19,70
1034;45,19
1035;19,70
1036;19,70
1037;19,70
1038;82,86
1039;41,59
1040;93,99
1041;166,75
1042;15,97
1043;48,95
1044;31,09
1045;91,17
1046;16,81
1047;30,70
1048;0,00
1049;70,33
1050;25,99
1051;51,06
1052;15,26
1053;43,29
1054;30,22
1055;154,26
1056;125,52
1057;61,86
1058;30,02
1059;48,43
1060;16,01
1061;15,99
1062;58,30
1063;15,78
1064;14,21
1065;58,72
1066;16,01
1067;15,87
1068;15,73
1069;15,73
1070;15,99
1071;30,22
1072;226,20
1073;133,55
1074;42,20
1075;0,00
1076;30,22
1077;80,93
1078;81,06
1079;5,52
1080;15,94
1081;25,86
1082;30,28
1083;30,28
1084;15,95
1085;25,84
1086;14,99
1087;29,97
1088;48,34
1089;26,90
